emp_no,first_name,last_name,gender,salary,to_date
10018,Kazuhide,Peha,F,55881,1992-07-29
10186,Shigehito,Kropatsch,M,40000,1997-08-16
10217,Yongmin,Roison,F,40000,1993-08-05
10229,Ulises,Takanami,M,58321,2000-06-30
10286,Saddek,Gopalakrishnan,F,40000,1999-01-24
10302,Faiza,Baer,F,58239,1999-11-09
10305,Hirochika,Piancastelli,M,52550,1992-06-02
10327,Roded,Facello,M,54734,1993-05-22
10327,Roded,Facello,M,54734,1988-05-10
10363,Toshiki,Muniz,F,40401,1993-02-12
10363,Toshiki,Muniz,F,40401,1987-05-18
10395,Takahiro,Deverell,M,42774,2001-08-13
10442,Volkmar,Unno,M,46005,2001-03-13
10466,Jiakeng,Himler,M,55318,2000-08-15
10070,Reuven,Garigliano,M,55999,1995-10-18
10519,Yonghoan,Alencar,F,40000,1994-02-09
10519,Yonghoan,Alencar,F,40000,2001-10-13
10538,Przemyslawa,Falby,M,72002,1991-09-22
10538,Przemyslawa,Falby,M,72002,1998-12-13
10541,Godehard,Eiter,M,50741,1986-10-01
10548,Ramalingam,Gunderson,M,90631,1991-10-04
10088,Jungsoon,Syrzycki,F,65957,1992-03-21
10575,Theirry,Yeung,M,40523,2000-11-22
10108,Lunjin,Giveon,M,40000,1999-12-06
10591,Hidde,Hettesheimer,F,55131,1988-09-20
10608,Adhemar,Talmor,F,40000,1991-06-02
10108,Lunjin,Giveon,M,40000,2001-10-20
10116,Dayanand,Czap,F,44034,1998-11-01
10617,Hidekazu,Angel,F,40000,2001-10-03
10623,Aleksander,Danlos,F,60268,1996-02-11
10116,Dayanand,Czap,F,44034,1995-12-03
10629,Lalit,Francisci,F,87045,2001-12-07
10134,Diederik,Siprelle,M,40000,1993-12-02
10672,Bluma,Zeilberger,M,64663,1996-04-19
10694,Rildo,Straney,M,53020,2001-07-11
10149,Xiadong,Perry,F,88740,1996-08-27
10731,Fumitaka,Peak,M,77892,2000-10-09
10152,Jaques,Munro,F,40000,1987-08-03
10161,Hairong,Mellouli,F,43149,1994-01-05
11012,Taegyun,Speckmann,F,72092,2000-03-16
10751,Jordanka,Ushiama,M,50052,2000-12-05
10777,Mizuhito,Kemmerer,F,40000,2001-03-27
10803,Katsuyuki,Velasco,F,54260,2002-04-02
10836,Jianhua,Leivant,F,65502,1991-07-01
10867,Billur,Gyorkos,M,40000,2002-03-22
10895,Vishwani,Petersohn,M,67103,1987-04-13
10895,Vishwani,Petersohn,M,67103,1986-12-25
10912,Oscal,Fasbender,M,45665,1999-09-26
10918,Susumu,Reghbati,M,59521,1990-10-10
11028,Miyeon,Krider,M,41111,1997-09-04
11110,Valeska,Birjandi,F,43063,1988-09-23
11148,Zhanqiu,Botman,F,56344,1991-12-12
11203,Sakthirel,Yetto,M,68049,1996-06-15
11291,Gino,Glowinski,M,54307,2001-04-15
11110,Valeska,Birjandi,F,43063,1992-03-30
11501,Karsten,Ranum,F,48608,2002-03-20
11554,Subhash,Taubenfeld,M,46065,1999-02-21
11431,Youngkon,Picht,M,44804,2001-03-03
11562,Rimli,Alencar,M,82255,1994-12-13
11461,Kish,Cronau,M,49398,1997-07-20
11477,Fox,Narahari,M,40000,1996-09-12
11578,Edwin,Rosti,F,40000,2002-02-17
11588,Kaijung,Panangaden,M,40000,1995-06-12
11628,Fan,Malinowski,M,43966,1995-04-23
11883,Nectarios,Bhattacharjee,F,58135,1990-10-28
11705,Arve,Hofmeyr,M,79701,1994-06-30
11705,Arve,Hofmeyr,M,79701,1990-04-06
11732,Sanjoy,Ranft,F,40000,2002-07-12
11738,Tadahiro,Lichtman,M,58432,1995-06-27
11747,Aksel,Kossowski,M,90239,1999-01-16
11769,Chandrasekaran,Lampe,M,40000,1999-04-18
11797,Chenxi,Thambidurai,M,88050,1996-09-28
11805,Rosine,Grandbois,M,40000,1991-02-05
11813,Gita,Muhlberg,F,94687,1991-07-20
11987,Vidya,Schaar,F,40000,1993-09-14
11838,Taiji,Nitta,M,68674,1991-05-09
12036,Mads,Ratzlaff,M,67143,1995-07-01
12052,Masako,Khasidashvili,F,40000,1988-08-29
12087,Weijing,Jumpertz,M,45432,1993-03-24
12103,Becky,Erie,M,56188,1992-09-18
12125,Shounak,Erman,F,41215,1999-09-01
12128,Yannik,Barreiro,F,81527,1998-11-25
12173,Adel,Nanard,M,58321,2000-05-20
11987,Vidya,Schaar,F,40000,1997-12-04
11988,Chinya,Chinin,F,57652,2001-12-31
12025,Jaewoo,Heiserman,F,62126,1990-06-09
12254,Chaitali,Stafford,M,44848,1989-10-31
12274,Garnik,Papadias,M,40000,1989-01-18
12276,Yongmin,Lenart,M,59844,2001-09-25
12033,Visit,Serot,M,49992,1999-02-07
12415,Uri,Sluis,M,53615,1998-10-10
12303,Godehard,Braccini,M,40000,1988-07-19
